country,year,y,l,pop,k,labsh
Guatemala,1954,11124.568359375,1.2495640516281128,3.6056355136894176,36268.6015625,0.5462682247161865
Guatemala,1955,11400.7451171875,1.2730578184127808,3.7238977624962395,38613.15234375,0.5462682247161865
Guatemala,1956,12437.81640625,1.2969473600387573,3.846205569794206,42471.09375,0.5462682247161865
Guatemala,1957,13139.53125,1.321622371673584,3.9726982093258223,46488.5078125,0.5462682247161865
Guatemala,1958,13752.4736328125,1.3464604616165161,4.103628257969635,49533.75390625,0.5462682247161865
Guatemala,1959,14431.6435546875,1.3719069957733154,4.239240144962944,52028.8984375,0.5462682247161865
Guatemala,1960,14783.9091796875,1.3978819847106934,4.378204277100343,54115.828125,0.5462682247161865
Guatemala,1961,15419.3974609375,1.4293100833892822,4.519152359880513,55678.484375,0.5462682247161865
Guatemala,1962,15964.7041015625,1.461512804031372,4.6635204150726075,57272.92578125,0.5462682247161865
Guatemala,1963,17487.90234375,1.4945380687713623,4.812486795291456,60038.31640625,0.5462682247161865
Guatemala,1964,18298.115234375,1.528060793876648,4.966016363834194,63667.4609375,0.5462682247161865
Guatemala,1965,19095.64453125,1.5622518062591553,5.067999880050458,67258.3125,0.5462682247161865
Guatemala,1966,20148.21484375,1.6006680727005005,5.171731065313435,69921.8515625,0.5462682247161865
Guatemala,1967,20975.3359375,1.6401317119598389,5.277934550466211,73601.4296875,0.5462682247161865
Guatemala,1968,22815.57421875,1.6803042888641357,5.38758296018222,78930.2109375,0.5462682247161865
Guatemala,1969,23896.326171875,1.721670150756836,5.501089787254564,81961.953125,0.5462682247161865
Guatemala,1970,25260.30078125,1.7639622688293457,5.621792,86148.3515625,0.5462682247161865
Guatemala,1971,26670.77734375,1.8465577363967896,5.78048,90709.296875,0.5462682247161865
Guatemala,1972,28626.55859375,1.9319167137145996,5.941567,94966.90625,0.5462682247161865
Guatemala,1973,30568.248046875,2.019963026046753,6.10453,99973.078125,0.5462682247161865
Guatemala,1974,32516.984375,2.110201835632324,6.268707,104536.203125,0.5462682247161865
Guatemala,1975,33151.0625,2.203317165374756,6.4337279999999994,109715.5703125,0.5462682247161865
Guatemala,1976,35600.01953125,2.283137083053589,6.599214,118399.71875,0.5462682247161865
Guatemala,1977,38380.1015625,2.3640213012695312,6.765516,127899.9453125,0.5462682247161865
Guatemala,1978,40297.83984375,2.447230577468872,6.9339059999999995,137995.515625,0.5462682247161865
Guatemala,1979,42195.84765625,2.5342538356781006,7.106145,146755.8125,0.5462682247161865
Guatemala,1980,43778.234375,2.624479055404663,7.283459,153662.90625,0.5462682247161865
Guatemala,1981,44069.90625,2.720487117767334,7.466488,161491.78125,0.5462682247161865
Guatemala,1982,42505.84375,2.666109800338745,7.654819,167572.9375,0.5462682247161865
Guatemala,1983,41420.86328125,2.614478349685669,7.847472,169936.84375,0.5462682247161865
Guatemala,1984,41616.72265625,2.705599069595337,8.042897,171539.03125,0.5462682247161865
Guatemala,1985,41371.546875,2.6947720050811768,8.24006,172470.75,0.5462682247161865
Guatemala,1986,41429.3203125,2.6838321685791016,8.438604,173634.546875,0.5462682247161865
