region,year,y,l,pop,k,labsh
África,1979,49363.59191363791,4.024687503990919,12.07129752173913,208328.2041121773,0.533041731170986
África,1980,36072.74420525046,3.0997399137191035,9.101112323529412,152849.2337287454,0.5520033547106911
África,1981,36993.86126798742,3.205883091370411,9.363505294117646,162369.54295259365,0.55496705893208
África,1982,37342.84162633559,3.2835039197850753,9.633169294117646,170324.44922772577,0.5547633039600709
África,1983,37443.536658791934,3.324124642045182,9.9096285,176147.47919239718,0.5526904516360339
África,1984,38903.88095182531,3.356106332338908,10.19236032352941,180237.55657420438,0.550000812200939
África,1985,40300.43914076861,3.431594420936616,10.480837705882353,183417.71215461282,0.5502918222371269
África,1986,41059.10807800293,3.503522638505434,10.774955676470588,185665.01743451288,0.5459012362886878
África,1987,42341.102935791016,3.620096443220973,11.074299911764705,187885.03421918084,0.5431677190696492
África,1988,44621.306013219495,3.738183806924259,11.377678411764705,190614.12601605584,0.5409737553666619
África,1989,46047.12059918572,3.8536945665803026,11.683625970588235,193752.748804429,0.5380406537476707
África,1990,47983.47270382152,3.9687617408002125,11.991151970588234,197259.07127829158,0.53862704511951
África,1991,48972.351977180035,4.084026208147407,12.299705058823529,200985.3696899414,0.5414229245746837
África,1992,49776.24913383933,4.181329898645773,12.60966044117647,205053.73629940258,0.5414947297643212
África,1993,49649.031925874595,4.287994003909476,12.922127470588235,208915.9645062615,0.5444569149438072
África,1994,50940.221536972946,4.403976845828926,13.238751588235294,213022.31821576288,0.5432064287802753
África,1995,52429.62791442871,4.523371102617068,13.560781117647059,217520.59890926586,0.5388223669108223
África,1996,55312.051294663375,4.632152765112765,13.88896994117647,223102.3145572438,0.5391950931619195
África,1997,57376.607630112594,4.759457601563019,14.223201529411764,228636.98178639132,0.5389274122083888
África,1998,59352.15031074075,4.8910836371428825,14.562860352941176,235590.16594740923,0.5398184367839027
África,1999,61160.790426815256,5.032498200150097,14.90692788235294,241467.6112204159,0.5367701465592665
África,2000,63402.7274017334,5.11295153091059,15.254928705882353,246576.37263399013,0.5318251585259157
África,2001,66117.41256893383,5.181485237444148,15.60700944117647,250847.12091064453,0.53623106462114
África,2002,69865.45255503934,5.302331444314298,15.96433732352941,255769.06632008273,0.535876197850003
África,2003,72819.68097731646,5.397571731906603,16.328735029411764,261340.52101045498,0.5276075548985425
África,2004,76936.28102111816,5.58719485735192,16.702565647058822,266839.8563232422,0.5269133834277883
África,2005,81234.85949886547,5.710726476219647,17.087782235294117,273508.4157068589,0.5182250860859366
África,2006,86289.68513758043,5.89929361805758,17.48478938235294,282465.523473403,0.5125719602493679
África,2007,91689.15312823128,6.0955957345226235,17.89390244117647,292042.4110969095,0.4981649382149472
África,2008,96578.59728644876,6.2633734297226455,18.31682076470588,303381.425343233,0.4922594498185551
África,2009,100605.92270795036,6.407002806882648,18.755481647058822,313858.5685676126,0.5025194138288498
África,2010,106368.98120296703,6.5502972298246975,19.21109788235294,324183.8615363626,0.5018727744326872
África,2011,110372.08119291418,6.724643405636444,19.684475676470587,334122.6964757583,0.4996553790919921
África,2012,114726.91326545266,6.868827713763013,20.174890352941176,344400.4078153722,0.49921703776892495
África,2013,119788.70722871668,7.077155456166057,20.68004117647059,355045.6677461512,0.4998875830103369
África,2014,125061.61332074333,7.272206082063563,21.19664370588235,366377.6766429228,0.502559145583826
